ID,TIMESTAMP,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z
1, 3184, 3043, 3052, 3020, 2936, 2985, 2926, -8517, 25971, 92155, -2210, 2057, -1448, -525000, 1491000, -141000
1, 3252, 3043, 3052, 3020, 2936, 2985, 2926, -8583, 25827, 92179, -2667, 1829, -1448, -477000, 1395000, -141000
1, 3320, 3043, 3052, 3020, 2936, 2985, 2926, -8631, 25929, 91940, -2515, 2134, -1524, -573000, 1515000, -147000
1, 3388, 3043, 3052, 3020, 2936, 2985, 2926, -8643, 26025, 92072, -2591, 1753, -1371, -429000, 1515000, -135000
1, 3456, 3043, 3052, 3020, 2936, 2985, 2926, -8589, 25833, 92245, -2439, 2057, -1448, -501000, 1539000, -117000
1, 3524, 3043, 3052, 3020, 2936, 2985, 2926, -8798, 25935, 92239, -2439, 1905, -1448, -525000, 1467000, -135000
1, 3592, 3043, 3057, 3020, 2937, 2985, 2926, -8804, 25983, 92102, -2591, 1829, -1371, -597000, 1539000, -117000
1, 3660, 3046, 3057, 3020, 2937, 2984, 2926, -8679, 26001, 92012, -2896, 1524, -1371, -549000, 1515000, -153000
1, 3728, 3046, 3057, 3025, 2937, 2984, 2926, -8780, 25953, 92281, -2515, 1829, -1448, -573000, 1491000, -135000
1, 3796, 3046, 3057, 3025, 2937, 2984, 2926, -8589, 25875, 92149, -2439, 1905, -1295, -429000, 1491000, -129000
1, 3961, 3046, 3057, 3025, 2937, 2984, 2926, -8577, 25696, 92419, -2439, 1905, -1448, -501000, 1491000, -129000
1, 4029, 3046, 3057, 3025, 2937, 2984, 2926, -8744, 25887, 92066, -2362, 2057, -1524, -549000, 1515000, -129000
1, 4097, 3046, 3064, 3025, 2938, 2984, 2927, -8744, 25797, 92155, -2210, 2210, -1371, -549000, 1467000, -147000
1, 4166, 3051, 3064, 3025, 2938, 2984, 2927, -8744, 25785, 92179, -2515, 1981, -1295, -477000, 1491000, -141000
1, 4235, 3051, 3064, 3030, 2938, 2983, 2927, -8792, 25738, 92090, -2591, 1981, -1448, -525000, 1443000, -123000
1, 4303, 3051, 3064, 3030, 2938, 2983, 2927, -8385, 25923, 92622, -2515, 1905, -1295, -717000, 1491000, -159000
1, 4372, 3051, 3064, 3030, 2938, 2983, 2927, -8876, 26102, 91970, -2515, 1981, -1371, -477000, 1563000, -123000
1, 4440, 3051, 3064, 3030, 2938, 2983, 2927, -8685, 25905, 92102, -2667, 1905, -1448, -429000, 1467000, -129000
1, 4508, 3051, 3064, 3030, 2938, 2983, 2927, -8685, 25959, 92616, -2743, 2057, -1371, -453000, 1563000, -135000
1, 4673, 3054, 3070, 3030, 2939, 2983, 2928, -8475, 25875, 92251, -2515, 1981, -1448, -501000, 1515000, -141000
1, 4742, 3054, 3070, 3033, 2939, 2982, 2928, -8708, 25959, 92407, -2591, 1905, -1371, -381000, 1587000, -123000
1, 4810, 3054, 3070, 3033, 2939, 2982, 2928, -8738, 25965, 92341, -2515, 1829, -1524, -429000, 1515000, -135000
1, 4879, 3054, 3070, 3033, 2939, 2982, 2928, -8685, 25977, 92257, -2515, 1981, -1371, -453000, 1539000, -123000
1, 4948, 3054, 3070, 3033, 2939, 2982, 2928, -8750, 25750, 92389, -2591, 2057, -1524, -501000, 1443000, -135000
1, 5016, 3054, 3070, 3033, 2939, 2982, 2928, -8720, 25660, 92407, -2667, 1905, -1371, -525000, 1563000, -111000
1, 5085, 3054, 3076, 3033, 2939, 2982, 2928, -8661, 26043, 91802, -2210, 2210, -1448, -405000, 1683000, -141000
1, 5154, 3054, 3076, 3033, 2939, 2982, 2928, -8475, 25833, 92598, -2820, 1676, -1448, -333000, 1443000, -123000
1, 5222, 3054, 3076, 3033, 2939, 2981, 2928, -8816, 25552, 91838, -1905, 2286, -1600, -453000, 1395000, -141000
1, 5387, 3054, 3076, 3037, 2939, 2981, 2928, -8613, 25887, 92616, -2439, 2057, -1448, -453000, 1563000, -105000
1, 5456, 3054, 3076, 3037, 2939, 2981, 2928, -8625, 25708, 92137, -2743, 1981, -1371, -549000, 1611000, -129000
1, 5525, 3054, 3076, 3037, 2939, 2981, 2928, -8631, 25959, 92281, -2591, 1905, -1448, -597000, 1443000, -135000
1, 5594, 3054, 3082, 3037, 2939, 2981, 2928, -8720, 26037, 92526, -2515, 1981, -1448, -477000, 1611000, -117000
1, 5663, 3054, 3082, 3037, 2939, 2981, 2928, -8726, 26007, 92538, -2591, 1829, -1371, -501000, 1395000, -129000
1, 5732, 3054, 3082, 3037, 2939, 2980, 2928, -8912, 25857, 92329, -2362, 2057, -1295, -549000, 1419000, -159000
1, 5801, 3054, 3082, 3040, 2939, 2980, 2928, -8679, 25833, 92496, -2439, 1905, -1371, -477000, 1539000, -129000
1, 5870, 3054, 3082, 3040, 2939, 2980, 2928, -8960, 25767, 92317, -2743, 1905, -1371, -477000, 1467000, -129000
1, 5939, 3054, 3082, 3040, 2939, 2980, 2928, -8667, 25881, 92676, -2743, 1905, -1371, -309000, 1563000, -129000
1, 6104, 3054, 3089, 3040, 2939, 2980, 2928, -8667, 25821, 92688, -2591, 1905, -1448, -597000, 1467000, -129000
1, 6173, 3054, 3089, 3040, 2939, 2980, 2929, -8679, 26114, 92610, -2820, 1753, -1371, -525000, 1443000, -135000
1, 6242, 3055, 3089, 3040, 2939, 2980, 2929, -8840, 25851, 92622, -2743, 1829, -1524, -453000, 1587000, -141000
1, 6311, 3055, 3089, 3041, 2939, 2980, 2929, -8661, 25953, 92425, -2362, 1981, -1448, -429000, 1563000, -135000
1, 6381, 3055, 3089, 3041, 2939, 2980, 2929, -8756, 25977, 92556, -2667, 1981, -1371, -237000, 1419000, -123000
1, 6450, 3055, 3089, 3041, 2939, 2980, 2929, -8870, 25839, 92395, -2362, 2057, -1371, -477000, 1515000, -135000
1, 6519, 3055, 3089, 3041, 2939, 2980, 2929, -8876, 25773, 92401, -2667, 1676, -1448, -429000, 1395000, -135000
1, 6588, 3055, 3091, 3041, 2939, 2980, 2929, -8798, 25971, 92114, -2439, 1981, -1524, -549000, 1443000, -135000
1, 6657, 3055, 3091, 3041, 2939, 2980, 2929, -8643, 25750, 92395, -2743, 1905, -1371, -333000, 1563000, -135000
1, 6822, 3051, 3091, 3036, 2939, 2979, 2929, -8780, 25833, 92484, -2515, 1981, -1448, -525000, 1563000, -135000
1, 6890, 3051, 3091, 3036, 2939, 2979, 2929, -8744, 25923, 92203, -2515, 1905, -1448, -405000, 1587000, -135000
1, 6958, 3051, 3091, 3036, 2939, 2979, 2929, -8978, 25899, 92275, -2820, 1829, -1448, -429000, 1491000, -129000
1, 7026, 3051, 3091, 3036, 2939, 2979, 2929, -8744, 26049, 92460, -2362, 2057, -1448, -453000, 1467000, -135000
1, 7095, 3051, 3088, 3036, 2940, 2979, 2929, -9097, 26001, 92191, -2515, 2286, -1524, -357000, 1467000, -135000
1, 7163, 3051, 3088, 3036, 2940, 2979, 2929, -8882, 25791, 92490, -2591, 1829, -1371, -453000, 1491000, -129000
1, 7231, 3042, 3088, 3036, 2940, 2979, 2929, -8870, 25881, 92760, -2743, 1829, -1448, -429000, 1539000, -129000
1, 7299, 3042, 3088, 3036, 2940, 2978, 2929, -8780, 25785, 92215, -2515, 1981, -1371, -405000, 1515000, -141000
1, 7367, 3042, 3088, 3028, 2940, 2978, 2929, -8888, 26043, 92664, -2667, 1753, -1524, -669000, 1371000, -135000
1, 7532, 3042, 3088, 3028, 2940, 2978, 2929, -8828, 26031, 92484, -2286, 2057, -1524, -549000, 1467000, -123000
1, 7600, 3042, 3084, 3028, 2940, 2978, 2929, -8882, 25827, 92562, -2743, 1753, -1448, -693000, 1491000, -129000
1, 7669, 3042, 3084, 3028, 2940, 2978, 2929, -8882, 25899, 91904, -2362, 2210, -1448, -477000, 1563000, -135000
1, 7738, 3037, 3084, 3028, 2940, 2978, 2929, -8720, 26055, 92879, -2972, 1753, -1524, -453000, 1563000, -135000
1, 7806, 3037, 3084, 3028, 2940, 2977, 2929, -8852, 25785, 92478, -2515, 2057, -1448, -429000, 1491000, -123000
1, 7874, 3037, 3084, 3024, 2940, 2977, 2929, -8810, 25917, 92395, -2591, 1981, -1448, -357000, 1659000, -135000
1, 7942, 3037, 3084, 3024, 2940, 2977, 2929, -8756, 25863, 92419, -2591, 1905, -1524, -477000, 1587000, -123000
1, 8010, 3037, 3084, 3024, 2940, 2977, 2929, -9002, 26025, 92275, -2667, 1981, -1448, -453000, 1611000, -117000
1, 8079, 3037, 3083, 3024, 2940, 2977, 2929, -8882, 25773, 92712, -2591, 1829, -1371, -477000, 1539000, -135000
1, 8244, 3036, 3083, 3024, 2940, 2977, 2929, -8762, 25953, 92502, -2896, 1753, -1371, -477000, 1635000, -129000
1, 8312, 3036, 3083, 3024, 2940, 2977, 2929, -8798, 25941, 92472, -2591, 1905, -1371, -381000, 1515000, -135000
1, 8380, 3036, 3083, 3026, 2940, 2977, 2929, -8840, 25851, 92448, -2743, 1676, -1295, -477000, 1539000, -123000
1, 8449, 3036, 3083, 3026, 2940, 2977, 2929, -8792, 25905, 92317, -2667, 1905, -1371, -501000, 1683000, -141000
